Feature	Importance
ctarjeta_debito_transacciones_lag1	2051.3557890057564
mtransferencias_emitidas_delta1	2042.4178101420403
Visa_mconsumospesos_lag1	2009.2697258830071
Visa_mpagominimo_ranked_delta2	1995.1592572987079
mcomisiones_delta2	1990.5773789346217
Visa_mpagospesos_ranked_lag1	1985.1260313332082
mcuenta_corriente_lag2	1966.449885225296
Visa_mconsumosdolares	1964.2136348843574
mtransferencias_recibidas_ranked_delta2	1954.7782681703568
mrentabilidad_lag2	1922.702157831192
mextraccion_autoservicio_ranked_delta1	1894.031009352207
Master_mpagospesos_ranked_delta1	1844.8856155395508
mcaja_ahorro_dolares_ranked_lag1	1844.8677287876606
ctarjeta_visa_debitos_automaticos_lag1	1844.5763334333897
mtransferencias_emitidas_ranked_lag1	1838.6435325026512
Visa_msaldopesos_delta1	1825.0440953552722
Master_mconsumospesos	1818.1974909067153
Master_Fvencimiento_lag2	1795.2125125586986
mttarjeta_visa_debitos_automaticos_ranked_delta2	1781.6069811463356
mextraccion_autoservicio_lag1	1767.7127447724342
mautoservicio_ranked_delta2	1738.2474928557872
cproductos_lag1	1732.5827136576177
mplazo_fijo_dolares_ranked	1728.3374373316765
cextraccion_autoservicio	1719.4637070298195
ctarjeta_debito_transacciones_delta2	1711.9768493652343
mextraccion_autoservicio_delta1	1700.6089281022548
mactivos_margen_delta2	1697.6333580732346
mpasivos_margen_delta2	1694.3740102887155
matm_ranked_delta1	1687.738839328289
tcallcenter_delta1	1676.0463383555411
mcomisiones_mantenimiento_lag1	1672.5126954317093
mcomisiones_mantenimiento_delta2	1669.084841942787
mactivos_margen_lag2	1652.26100654006
mpagomiscuentas_ranked_delta1	1643.805371117592
ccajas_otras	1635.7914135873318
Visa_mconsumospesos_ranked_delta2	1601.9473677098752
mpagomiscuentas_lag1	1583.3609709620475
ctransferencias_recibidas_lag1	1582.560655593872
mcaja_ahorro_lag2	1575.7287607073783
mpagomiscuentas_ranked_delta2	1573.2700950860976
Visa_mpagospesos_ranked_delta2	1568.8704028367997
Visa_msaldototal_delta1	1547.4329563081264
mcaja_ahorro_delta2	1515.1038285017014
cdescubierto_preacordado_delta1	1511.719743013382
mprestamos_personales_lag1	1510.2454900324344
mrentabilidad_delta2	1493.888390147686
ccallcenter_transacciones_lag1	1493.2077115416528
Master_mconsumospesos_ranked	1472.8281790614128
ccomisiones_otras_delta1	1467.3901209533215
mcuenta_debitos_automaticos_lag1	1463.9478884100913
mforex_sell_ranked_delta1	1440.5432474136353
mcomisiones_otras_lag2	1433.9808354258537
Visa_status_lag1	1420.692674946785
mextraccion_autoservicio_ranked_lag1	1419.3924325048924
Master_msaldototal_ranked_delta1	1406.4814852654933
Visa_msaldopesos_lag1	1396.4427195429803
Visa_mpagado_delta1	1394.999398958683
tcuentas_lag1	1383.4845472574234
Visa_Fvencimiento_lag2	1381.8972392320634
mpagomiscuentas_ranked_lag1	1377.4801454126834
cpayroll_trx_lag1	1358.8620290577412
ccomisiones_mantenimiento_lag1	1346.336472761631
catm_trx	1340.8793210327626
Visa_mconsumosdolares_ranked	1292.9366589009762
mtarjeta_visa_consumo_ranked_delta2	1273.1677677392959
mtarjeta_master_consumo_delta1	1241.8569988071918
Visa_mpagospesos_lag2	1239.2680326104164
cliente_antiguedad_lag2	1205.605825471878
Master_fechaalta_lag2	1183.000276041031
matm_delta1	1182.7310062527656
mcuenta_debitos_automaticos_delta1	1178.2563866257667
mtarjeta_visa_consumo_lag1	1160.6144451200962
mtarjeta_visa_consumo_ranked_lag1	1148.7897057175637
catm_trx_delta1	1144.1135511755942
Visa_fechaalta_lag2	1138.4988026320934
Visa_msaldopesos_ranked_lag1	1137.7032818615437
mprestamos_personales_ranked_lag1	1114.9690664887428
Master_mpagominimo_ranked_delta1	1101.286490279436
thomebanking_delta1	1092.459194111824
Visa_msaldototal_lag1	1086.6152836322785
mtransferencias_emitidas_delta2	1078.0845183730125
mcomisiones_lag2	1069.7435597002507
Visa_msaldototal_ranked_lag1	1058.5273937880993
cpagomiscuentas_lag1	1057.5374402880668
mtransferencias_recibidas_delta2	1053.222530066967
ctrx_quarter_lag2	1026.7591905355453
Visa_mconsumosdolares_lag1	1001.9710823595524
Master_msaldopesos_delta1	999.0547222018242
mpagomiscuentas_delta1	990.5070025026798
Master_mfinanciacion_limite_ranked_delta2	987.8037736415863
Visa_msaldodolares	978.1141837179661
Master_mpagominimo_lag1	969.9794193625451
mtransferencias_recibidas_lag2	960.0033979535103
Master_mconsumospesos_lag1	949.9521982371807
Visa_mpagominimo_delta2	948.8843431949615
Visa_mlimitecompra_ranked_lag1	924.5726051330566
mcuenta_debitos_automaticos_ranked_lag1	891.2299351215363
cplazo_fijo	875.4105152010918
ccomisiones_otras_delta2	863.6817907691002
mttarjeta_visa_debitos_automaticos_delta2	856.9018929719925
Visa_mpagospesos_delta2	848.9583584070206
Visa_mconsumospesos_delta2	844.2277615129948
Master_mpagospesos_lag1	817.2638341069221
Visa_mfinanciacion_limite_ranked_delta2	807.0817520022392
Visa_mpagominimo_lag2	804.2541102528572
mcomisiones_mantenimiento_ranked_lag1	802.0795641064644
Visa_mconsumosdolares_ranked_lag1	798.8550732731819
Master_mfinanciacion_limite_lag2	778.4900922060012
Visa_msaldopesos_ranked_delta2	775.836800301075
Visa_msaldodolares_ranked	770.4630382299423
ccomisiones_otras_lag2	752.9089451491833
