Feature	Importance
mtransferencias_recibidas_ranked_lag1	45.9184526251629
Visa_mpagominimo_ranked_lag1	45.840332770720124
mcaja_ahorro_lag2	45.00165738351643
Visa_msaldopesos_delta1	44.318389095366
Visa_mpagospesos_lag2	44.09358228137717
cpagomiscuentas	43.6485786344856
mextraccion_autoservicio_lag1	42.786524701397866
mactivos_margen_delta2	42.77278762124479
Visa_msaldototal_ranked_lag1	41.643801214173436
ctarjeta_debito_transacciones	41.55137243214995
Visa_msaldopesos_ranked_delta1	41.21019520517439
ctransferencias_recibidas_delta1	41.18318536458537
mrentabilidad_annual_ranked_delta2	40.852854003198445
Master_msaldopesos	40.427350278012455
mtransferencias_recibidas_ranked_delta2	40.27950881514698
ctarjeta_visa_debitos_automaticos_lag1	39.90406387299299
cmobile_app_trx_lag1	39.5429124860093
ctarjeta_debito_transacciones_delta1	39.345434706658125
Visa_cconsumos_delta1	39.14677177928388
catm_trx	39.14574864692986
ccomisiones_otras_lag2	38.66779585927725
mrentabilidad_lag2	38.630382298491895
Master_Fvencimiento_lag2	37.80090187769383
chomebanking_transacciones_lag2	37.473040057811886
cplazo_fijo	37.22823695093393
Visa_mpagospesos_ranked_delta2	36.18782756663859
Visa_mpagominimo_ranked_delta2	35.960874107666314
Visa_mpagospesos_lag1	35.790943880565464
mcaja_ahorro_delta2	35.23464975692332
mpayroll_ranked	35.018754847347736
Visa_Fvencimiento_lag2	34.994757959619164
Visa_msaldopesos_ranked_lag1	34.76448601484299
mcaja_ahorro_dolares_ranked_lag1	34.31534151174128
mtransferencias_emitidas_ranked_lag1	34.21404694765806
cseguro_accidentes_personales	33.277377527207136
Visa_fechaalta_lag2	32.994363396428525
Visa_fultimo_cierre_lag1	32.79372617136687
Master_mfinanciacion_limite_ranked_lag1	32.32532154303044
mttarjeta_visa_debitos_automaticos_lag1	32.21489155758172
Master_mlimitecompra_ranked	32.01084651006386
Visa_msaldopesos_ranked_delta2	31.986704230308533
ctransferencias_recibidas_lag1	31.344058852642775
Visa_mlimitecompra_lag1	31.05434850603342
mextraccion_autoservicio_ranked	30.184171160683036
Visa_mlimitecompra_ranked_lag1	29.680610181763768
Master_mconsumospesos_ranked	28.473395666107535
mcuentas_saldo_delta2	27.270617000758648
mpagomiscuentas_delta1	27.22356012649834
Visa_mpagominimo_lag2	27.21112077496946
mextraccion_autoservicio	27.18564296513796
mcomisiones_lag2	27.154741771984845
Visa_mpagospesos_ranked_lag1	26.7269077450037
mextraccion_autoservicio_delta1	26.66623868746683
Master_mconsumospesos	26.594106540083885
ccallcenter_transacciones_lag1	26.58096582442522
Visa_status_lag1	26.535251654684544
Visa_mconsumospesos_ranked_delta2	26.321539451368153
Master_mpagospesos_ranked_delta1	25.978920836001635
Visa_cconsumos_lag2	25.94339831918478
Visa_mpagospesos_delta2	25.917606939561665
mtransferencias_emitidas_delta1	25.850850272923708
ctransferencias_recibidas_lag2	25.784384083002806
cextraccion_autoservicio	25.683977930340916
mpagomiscuentas_lag1	25.645073004066944
mtarjeta_visa_consumo_ranked_delta2	25.61989543866366
Visa_mpagominimo_delta2	25.47579187899828
mpasivos_margen_delta2	25.337808006908745
mttarjeta_visa_debitos_automaticos_ranked_delta2	25.10161145683378
mttarjeta_visa_debitos_automaticos_delta2	25.031821813434362
mtransferencias_recibidas_delta1	24.406343020498753
mtarjeta_visa_consumo_lag1	24.277345965616405
ctarjeta_debito_transacciones_delta2	23.95941323786974
mpagomiscuentas_ranked_delta2	23.513528626412153
thomebanking_delta1	23.43802123144269
mplazo_fijo_dolares	23.2294330149889
Visa_mconsumosdolares	22.756800597533584
matm_ranked_delta1	22.303517604246736
cliente_antiguedad_lag2	22.285761032719165
Master_mfinanciacion_limite_lag2	21.6971622351557
mextraccion_autoservicio_ranked_delta1	21.114588731899858
mtransferencias_recibidas_lag2	20.85292033199221
Master_fechaalta_lag2	20.396534251980484
Visa_mconsumospesos_lag1	20.37950141262263
mpagomiscuentas_ranked_lag1	19.342450400814414
Visa_msaldototal_ranked_delta2	19.274594291113317
mcuenta_debitos_automaticos_ranked_lag1	19.004503699950874
cinversion2	18.98339779302478
catm_trx_delta1	18.79552937299013
mcuenta_debitos_automaticos_lag1	18.65296407788992
ccomisiones_otras_delta2	18.64738578349352
Master_msaldototal_ranked_delta1	18.530364602804184
Visa_mpagospesos_ranked	18.278884856496006
Visa_mconsumospesos_ranked_lag1	18.210521260276437
mpayroll_norm_ranked_delta1	18.099298713728786
Visa_msaldototal_lag1	18.09601942822337
Visa_mfinanciacion_limite_lag2	17.264179800637066
tcallcenter_delta1	17.086433539167047
Master_mpagospesos_ranked_lag1	16.930857345461845
